aonly_AA	aonly_DA	
146.75	80.929
169.74	55.933
193.72	55.938
223.71	56.942
267.7	90.946
296.69	100.95
363.68	178.96
426.66	200.96
535.65	178.96
609.64	166.97
740.63	154.97
879.62	298.98
1026.6	374.98
1149.6	462.99
1324.6	472.99
1550.6	508.99
1691.6	593
1859.5	632
1898.5	683.01
2125.5	712.01
2154.5	713.02
2121.5	709.02
2088.5	776.03
2027.5	800.03
1968.5	757.03
1794.4	684.04
1635.4	553.04
1577.4	470.05
1241.4	459.05
1223.4	431.06
888.39	355.06
803.37	242.06
582.36	255.07
526.35	202.07
371.34	141.08
322.33	103.08
224.31	102.09
206.3	84.091
147.29	47.095
134.28	-2.9001
100.27	14.104
173.75	46.937
200.74	63.941
239.72	73.946
275.71	85.95
317.7	132.95
355.69	147.96
444.68	200.96
529.66	216.97
645.65	238.97
751.64	267.98
920.63	233.98
1090.6	375.99
1281.6	458.99
1424.6	555.99
1659.6	655
1931.6	667
2119.6	705.01
2302.5	782.01
2414.5	833.02
2687.5	861.02
2724.5	986.02
2689.5	946.03
2654.5	968.03
2572.5	1016
2493.5	1006
2243.4	889.05
2069.4	791.05
1984.4	758.06
1578.4	635.06
1523.4	502.06
1119.4	391.07
1000.4	298.07
716.36	315.08
642.35	201.08
448.34	139.09
393.33	113.09
265.31	154.09
244.3	127.1
173.29	78.104
154.28	53.108
110.27	61.112
213.75	10.945
241.74	55.949
283.72	103.95
335.71	152.96
381.7	172.96
429.69	202.97
534.68	185.97
645.66	208.98
789.65	231.98
926.64	341.98
1140.6	382.99
1351.6	401.99
1589.6	506
1761.6	579
2088.6	759.01
2385.6	854.01
2652.6	897.02
2873.5	967.02
3052.5	997.02
3362.5	1036
3438.5	1223
3407.5	1156
3375.5	1077
3261.5	1090
3152.5	1117.1
2997.4	988.05
2630.4	990.06
2484.4	967.06
1988.4	715.07
1893.4	561.07
1397.4	507.08
1246.4	424.08
883.36	332.09
792.35	189.09
550.34	135.09
472.33	121.1
318.31	176.1
288.3	133.11
210.29	113.11
180.28	127.12
130.27	122.12
255.75	48.953
284.74	87.957
327.72	131.96
383.71	168.97
451.7	170.97
508.69	172.98
623.68	160.98
752.66	196.98
960.65	234.99
1096.6	401.99
1363.6	421
1615.6	459
1897.6	715.01
2107.6	843.01
2518.6	899.01
2835.6	1087
3203.6	1122
3479.5	1158
3686.5	1226
4061.5	1314
4157.5	1349
4133.5	1230
4109.5	1117
3958.5	1152.1
3814.5	1187.1
3839.4	1078.1
3200.4	966.07
3016.4	815.07
2399.4	682.08
2274.4	661.08
1680.4	624.08
1496.4	511.09
1068.4	297.09
946.35	182.1
659.34	66.102
551.33	154.11
378.32	104.11
332.3	61.115
242.29	77.12
211.28	91.124
156.27	72.128
285.75	205.96
317.74	167.97
377.72	186.97
420.71	183.97
504.7	174.98
567.69	181.98
711.68	190.99
849.66	278.99
1101.7	413
1225.6	452
1548.6	641
1829.6	667.01
2156.6	829.01
2404.6	884.02
2854.6	1029
3231.6	1270
3653.6	1276
3951.5	1305
4218.5	1390
4599.5	1482
4748.5	1591
4731.5	1541.1
4717.5	1486.1
4537.5	1446.1
4364.5	1408.1
4308.4	1368.1
3656.4	1212.1
3489.4	1055.1
2766.4	851.08
2590.4	876.09
1936.4	553.09
