donly_DD	donly_DA	
3222.1	406.27
3290.2	383.28
3140.3	368.28
2997.4	337.28
2994.4	318.29
2991.5	304.29
2765.6	319.3
2553.6	333.3
2185.7	267.31
1858.8	216.31
1622.8	225.31
1407.9	233.32
1383	206.32
879.04	187.33
787.11	156.33
701.18	111.34
698.25	92.341
489.31	69.346
406.38	92.35
326.45	119.35
309.52	104.36
283.59	85.363
438.82	2.1959
459.88	16.2
505.95	28.205
648.02	64.209
747.09	100.21
802.16	106.22
861.23	137.22
1032.3	170.23
1247.4	161.23
1516.4	146.24
1676.5	132.24
2053.6	227.24
2347.6	293.25
2641.7	333.25
2915.8	374.26
3461.8	364.26
3642.9	354.27
3842	383.27
4049	414.27
4195.1	502.28
4348.2	527.28
4144.3	555.29
3950.3	487.29
3848.4	432.3
3749.5	379.3
3479.5	349.31
3226.6	321.31
2820.7	306.31
2457.7	340.32
2106.8	250.32
1793.9	166.33
1802.9	197.33
1149	229.34
973.08	144.34
813.15	88.345
798.22	99.349
574.28	110.35
543.35	100.36
482.42	91.362
408.49	129.37
291.56	100.37
523.79	6.2039
553.85	2.2083
602.92	3.2127
754.99	110.22
789.06	102.22
982.13	90.226
1103.2	121.23
1286.3	150.23
1529.3	169.24
1921.4	195.24
2191.5	217.25
2658.5	310.25
3061.6	390.26
3496.7	417.26
3829.7	481.27
4584.8	455.27
4636.9	428.27
4929	483.28
5238	548.28
5476.1	634.29
5724.2	702.29
5588.2	693.3
5455.3	654.3
5292.4	652.3
5133.4	649.31
4671.5	560.31
4244.6	475.32
3650.6	343.32
3126.7	235.33
2680.8	262.33
2285.8	290.34
1906.9	221.34
1408	206.34
1136	164.35
975.12	132.35
813.19	134.36
669.25	145.36
657.32	139.37
532.39	138.37
409.46	141.37
283.53	129.38
651.76	47.212
751.82	26.216
785.89	-4.7793
986.96	92.225
995.03	127.23
1232.1	134.23
1435.2	160.24
1685.2	184.24
1991.3	212.25
2439.4	241.25
2832.4	288.26
3487.5	345.26
4007.6	464.26
4716.6	645.27
5019.7	682.27
5963.8	644.28
6233.9	617.28
6612.9	717.29
7131	774.29
7387.1	808.3
7654.1	856.3
7570.2	813.3
7492.3	785.31
7181.3	834.31
6884.4	884.32
6293.5	764.32
5745.5	652.33
4821.6	488.33
4207.7	334.33
3411.7	411.34
2906.8	492.34
2238.9	426.35
1896.9	226.35
1735	194.36
1191.1	162.36
1080.2	141.37
785.22	115.37
712.29	142.37
580.36	178.38
485.43	157.38
405.5	113.39
806.73	63.22
938.79	67.224
1025.9	62.229
1232.9	114.23
1289	175.24
1547.1	194.24
1849.1	210.25
2168.2	260.25
2538.3	327.26
3091.3	341.26
3610.4	382.26
4430.5	424.27
5124.5	520.27
6063.6	803.28
6643.7	897.28
7569.8	958.29
8183.8	982.29
9107.9	1074.3
9646	1100.3
9897	1128.3
10154	1165.3
10019	1128.3
9889.2	1093.3
9399.3	1053.3
8933.4	1013.3
8291.4	898.33
7686.5	795.33
7035.6	717.34
5693.6	657.34
5022.7	593.35
3760.8	532.35
3382.9	508.36
2542.9	285.36
2520	263.36
1516.1	241.37
1541.1	177.37
942.19	150.38
778.26	135.38
668.33	101.39
603.4	125.39
561.47	112.4
958.7	59.228
1042.8	111.23
1252.8	163.24
1408.9	209.24
1537	208.25
1885	217.25
2260.1	223.25
2601.2	326.26
3023.2	432.26
3825.3	486.27
4492.4	523.27
5362.5	579.28
6304.5	663.28
7254.6	841.29
8478.7	1076.3
9311.7	1276.3
10043	1379.3
11722	1389.3
12199	1410.3
12549	1561.3
12909	1636.3
12728	1618.3
12549	1601.3
11914	1420.3
11311	1252.3
10472	1136.3
9690.5	1015.3
9595.5	957.35
7165.6	868.35
7009.7	660.36
4752.8	476.36
4674.8	390.36
3091.9	334.37
2935	342.37
1923	350.38
1883.1	252.38
1148.2	247.39
980.23	144.39
786.3	36.395
702.37	86.399
593.44	144.4
1111.7	109.24
1209.7	168.24
1461.8	194.24
1621.9	219.25
1893.9	216.25
2169	248.26
2493.1	255.26
2955.1	393.27
3560.2	408.27
4382.3	553.28
5167.4	586.28
6103.4	628.28
7349.5	944.29
8301.6	1058.3
9637.6	1287.3
10850	1422.3
12129	1552.3
13238	1519.3
14361	1493.3
14778	1859.3
15206	1874.3
15042	1861.3
14882	1848.3
14000	1749.3
13172	1655.3
12093	1563.3
11095	1374.4
9637.5	1237.4
8287.6	865.36
6734.7	713.36
5383.7	573.37
4392.8	463.37
3559.9	380.38
3422.9	360.38
2248	341.39
2173.1	269.39
1372.1	210.39
1317.2	129.4
907.27	139.4
865.34	135.41
593.41	131.41
1282.6	96.244
1353.7	136.25
1573.8	200.25
1839.8	257.26
2223.9	293.26
2420	299.27
2950	311.27
3451.1	553.27
4188.2	555.28
4928.3	588.28
6120.3	705.29
7198.4	759.29
8677.5	915.3
9612.5	1166.3
11520	1364.3
12561	1547.3
14508	1789.3
15474	1891.3
16801	1941.3
17292	2121.3
17832	2126.3
17786	2103.3
17747	2080.3
16851	2037.3
16004	1995.3
14648	1741.4
13399	1484.4
12629	1337.4
10101	1178.4
9020.6	983.37
6568.7	849.38
6109.8	769.38
4035.8	480.38
3321.9	396.39
2552	317.39
2483	260.4
1663.1	199.4
1427.2	164.41
1102.2	154.41
1023.3	142.42
719.38	141.42
1401.6	112.25
1510.7	114.26
1781.7	151.26
2006.8	214.27
2502.9	293.27
2751.9	322.27
3439	367.28
3909.1	604.28
4868.2	604.29
5569.2	710.29
7288.3	920.3
8295.4	1003.3
10075	1066.3
11240	1458.3
13549	1601.3
14596	1878.3
16740	2029.3
18224	2296.3
19708	2369.3
20420	2518.3
21050	2567.3
20917	2550.3
20799	2534.3
19776	2441.4
18988	2373.4
17371	2129.4
16137	1877.4
16295	1836.4
11915	1447.4
11719	1288.4
7905.7	989.38
8084.7	946.39
4884.8	631.39
4004.9	454.4
2963.9	295.4
2741	265.41
1898.1	220.41
1636.1	183.41
1216.2	158.42
1023.3	146.42
